Date,Store,Dept,Actual_Sales,Predicted_Sales,Error,Abs_Percent_Error
2012-08-03,1,1,16628.31,17452.389417065227,-824.0794170652262,4.95588196915517
2012-08-10,1,1,16119.92,17105.257757561627,-985.3377575616269,6.112547441684741
2012-08-17,1,1,17330.7,16767.979706148166,562.7202938518349,3.24695652138595
2012-08-24,1,1,16286.4,17819.823077468995,-1533.423077468995,9.415359302663541
2012-08-31,1,1,16680.24,17745.312408964754,-1065.072408964752,6.38523431895915
2012-09-07,1,1,18322.37,18342.92367046922,-20.55367046922038,0.11217801228345667
2012-09-14,1,1,19616.22,20382.440483525865,-766.2204835258635,3.9060557208568394
2012-09-21,1,1,19251.5,20478.08888070122,-1226.5888807012198,6.371393817111497
2012-09-28,1,1,18947.81,20337.152679241022,-1389.342679241021,7.332471030905528
2012-10-05,1,1,21904.47,22362.335750184175,-457.8657501841735,2.0902845409369575
2012-10-12,1,1,22764.01,23743.477184825962,-979.4671848259641,4.302700555947586
2012-10-19,1,1,24185.27,23294.667472751797,890.6025272482038,3.682417137572596
2012-10-26,1,1,27390.81,28004.006648739105,-613.1966487391037,2.2386948350162106
2012-08-03,1,2,49424.06,49679.54067181882,-255.48067181881925,0.5169155909466346
2012-08-10,1,2,46729.91,47469.8150280526,-739.9050280525989,1.583364975564042
2012-08-17,1,2,46350.97,46495.92374253036,-144.95374253035698,0.31273076384454734
2012-08-24,1,2,44972.52,47412.40526261873,-2439.8852626187363,5.425280288093122
2012-08-31,1,2,50995.5,48967.376173902114,2028.1238260978862,3.9770643019440657
2012-09-07,1,2,47344.5,47710.5858672686,-366.08586726860085,0.7732384274173365
2012-09-14,1,2,44493.61,47598.308986005264,-3104.6989860052636,6.977853642366316
2012-09-21,1,2,43541.07,45791.27956682842,-2250.2095668284237,5.1680162357710175
2012-09-28,1,2,45784.76,46553.08870191088,-768.3287019108757,1.6781319852083438
2012-10-05,1,2,48577.08,48705.582759715544,-128.5027597155422,0.26453372601964176
2012-10-12,1,2,42112.67,46209.19464800526,-4096.524648005259,9.727534844039239
2012-10-19,1,2,42354.72,44832.72239290051,-2478.002392900511,5.850593258320468
2012-10-26,1,2,43134.88,44358.943369636174,-1224.0633696361765,2.837757679252096
2012-08-03,1,3,30331.69,27442.20973049487,2889.4802695051294,9.526275224048279
2012-08-10,1,3,28257.3,33684.4794608268,-5427.179460826799,19.20629168684481
2012-08-17,1,3,31905.97,35824.78186930455,-3918.811869304547,12.282378091951278
2012-08-24,1,3,43712.78,38758.1068224476,4954.673177552402,11.33461010155932
2012-08-31,1,3,50701.3,30945.666189123844,19755.63381087616,38.9647480653872
2012-09-07,1,3,18368.51,32043.374437277365,-13674.864437277367,74.44732554397373
2012-09-14,1,3,14288.22,17013.95340410124,-2725.733404101242,19.076787760135566
2012-09-21,1,3,13403.63,13992.748019883216,-589.1180198832171,4.395212490073339
2012-09-28,1,3,13085.95,12791.105108204132,294.84489179586853,2.2531409014696564
2012-10-05,1,3,11676.98,12935.029073641657,-1258.0490736416577,10.773753775733603
2012-10-12,1,3,10487.17,11823.663006086566,-1336.4930060865663,12.744076868083251
2012-10-19,1,3,8548.87,11183.014185105683,-2634.1441851056825,30.812776251196734
2012-10-26,1,3,9350.9,9959.60489905402,-608.7048990540206,6.509586232918978
2012-08-03,1,4,41305.39,40165.39717949628,1139.9928205037213,2.7599129810993706
2012-08-10,1,4,40343.83,39366.611196977,977.2188030230027,2.42222615706789
2012-08-17,1,4,38105.9,38920.17269861885,-814.27269861885,2.136867778005112
2012-08-24,1,4,36674.67,38567.1440460858,-1892.474046085801,5.160166529339735
2012-08-31,1,4,37802.97,39115.91396565768,-1312.9439656576797,3.473123846241921
2012-09-07,1,4,39549.27,38482.2237682011,1067.0462317989004,2.6980175153647603
2012-09-14,1,4,35044.06,37768.34897740805,-2724.288977408054,7.773896567372771
2012-09-21,1,4,34507.34,35956.81190796552,-1449.471907965526,4.20047418307388
2012-09-28,1,4,34647.33,35989.37318697409,-1342.043186974086,3.8734389835351983
2012-10-05,1,4,39311.93,38705.951224232565,605.9787757674349,1.5414627970884025
2012-10-12,1,4,35446.18,37006.04347043512,-1559.8634704351207,4.400653245103197
2012-10-19,1,4,35549.19,35783.025013893624,-233.8350138936221,0.6577787395257728
2012-10-26,1,4,36292.6,35684.084707392285,608.5152926077135,1.6766924734180344
2012-08-03,1,5,17615.28,18509.188616595064,-893.9086165950648,5.074620537369062
2012-08-10,1,5,18232.46,19213.888179543443,-981.4281795434435,5.382862101677138
2012-08-17,1,5,15440.65,18843.92410181378,-3403.2741018137804,22.041002819271082
2012-08-24,1,5,22446.23,16519.215964382216,5927.0140356177835,26.405387611272737
2012-08-31,1,5,18615.76,20823.5993725052,-2207.839372505201,11.860054988381894
2012-09-07,1,5,18236.15,20014.790491099597,-1778.6404910995952,9.753377171714398
2012-09-14,1,5,19369.52,19824.95782675217,-455.4378267521679,2.3513118897740775
2012-09-21,1,5,25798.78,20711.129469904114,5087.650530095885,19.72050821820212
2012-09-28,1,5,22560.39,21463.601170074395,1096.7888299256047,4.861568571844745
2012-10-05,1,5,25508.81,26448.436081510226,-939.626081510225,3.6835355373701284
2012-10-12,1,5,20920.03,24141.03393670556,-3221.0039367055615,15.396746260428698
2012-10-19,1,5,20413.83,25662.612184335674,-5248.782184335672,25.711893281837224
2012-10-26,1,5,25846.94,22873.629508819537,2973.310491180462,11.503529977554257
2012-08-03,1,6,3412.58,3143.179573977289,269.40042602271114,7.894332910077161
2012-08-17,1,6,2725.3,3435.930763595945,-710.6307635959447,26.07532248177979
2012-08-24,1,6,2626.5,3336.744742242586,-710.2447422425862,27.041490281461495
2012-08-31,1,6,2987.07,3141.8279631861133,-154.7579631861131,5.180928575028811
2012-09-07,1,6,2576.64,3287.1025346866827,-710.4625346866828,27.573216851662742
2012-09-14,1,6,3073.31,3621.60355545998,-548.2935554599799,17.84048974753539
2012-09-21,1,6,4159.51,3192.7175722448073,966.7924277551929,23.24294034045339
2012-09-28,1,6,3168.68,4028.948547868676,-860.2685478686763,27.149114074904258
2012-10-05,1,6,3843.29,3526.713598356184,316.5764016438161,8.237119802143896
2012-10-12,1,6,3788.59,3960.8410232276096,-172.2510232276095,4.546573348596958
2012-10-19,1,6,3496.69,3945.1154738411797,-448.4254738411796,12.824284504522264
2012-10-26,1,6,4032.5,3833.536936237814,198.9630637621858,4.933987942025687
2012-08-03,1,7,16916.29,18726.269141182587,-1809.9791411825863,10.699622323704466
2012-08-10,1,7,16552.49,17208.850771869787,-656.3607718697858,3.965329517612068
2012-08-17,1,7,16256.91,16499.056909447052,-242.14690944705217,1.4895014455210256
2012-08-24,1,7,15159.94,16104.706237296135,-944.7662372961349,6.231991929362088
2012-08-31,1,7,15802.09,16177.718223419424,-375.6282234194241,2.3770793826602943
2012-09-07,1,7,16941.42,15995.976600101332,945.443399898666,5.5806620690512725
2012-09-14,1,7,15525.82,17149.297085947986,-1623.4770859479868,10.456626999076292
2012-09-21,1,7,22542.44,15855.232098961107,6687.207901038892,29.664969280339182
2012-09-28,1,7,22343.24,18233.248712407072,4109.991287592929,18.39478646603147
2012-10-05,1,7,22071.39,20806.569953197824,1264.820046802175,5.730586278445422
2012-10-12,1,7,20212.71,20139.84781790674,72.86218209326034,0.3604770567294556
2012-10-19,1,7,21937.45,22108.070792747792,-170.6207927477917,0.7777603720933459
2012-10-26,1,7,21449.85,23331.934935186855,-1882.0849351868565,8.774350101221485
2012-08-03,1,8,40098.84,39188.928963385755,909.9110366142413,2.2691704713010186
2012-08-10,1,8,37269.92,37533.04799022606,-263.12799022606487,0.7060063188385295
2012-08-17,1,8,36294.18,36991.306457443054,-697.1264574430534,1.92076651805621
2012-08-24,1,8,33855.28,36460.588890226885,-2605.3088902268864,7.695428571929952
2012-08-31,1,8,37666.92,37609.05915122831,57.86084877168469,0.15361183970360384
2012-09-07,1,8,38666.21,36734.45346676473,1931.7565332352679,4.995981072971124
2012-09-14,1,8,37346.83,37313.61875605092,33.21124394908111,0.08892654061691743
2012-09-21,1,8,36404.63,36271.45288306494,133.17711693505407,0.3658246682772331
2012-09-28,1,8,37254.84,36395.489305024705,859.3506949752918,2.3066820176258758
2012-10-05,1,8,42663.75,38857.82424874858,3805.925751251423,8.920748296273588
2012-10-12,1,8,37248.47,38158.687727026576,-910.2177270265747,2.443637891775353
2012-10-19,1,8,38668.75,37287.59163644018,1381.1583635598217,3.5717688406266603
2012-10-26,1,8,39255.35,38003.16246204663,1252.1875379533667,3.189851925797036
2012-08-03,1,9,23780.97,23730.975245617494,49.99475438250738,0.21023008894299677
2012-08-10,1,9,20400.88,22746.605643622297,-2345.725643622296,11.498159116774845
2012-08-17,1,9,23503.86,21604.678657168188,1899.1813428318128,8.080295503937705
2012-08-24,1,9,26262.95,22982.709151272247,3280.2408487277535,12.489993883884916
2012-08-31,1,9,41634.69,30570.697958901335,11063.992041098667,26.573974829880243
2012-09-07,1,9,42920.95,36688.939945305254,6232.010054694743,14.519739322393246
2012-09-14,1,9,31882.98,35072.312085445825,-3189.332085445825,10.003243377644829
2012-09-21,1,9,33889.72,33107.751021406904,781.9689785930968,2.307392857164641
2012-09-28,1,9,40712.85,39780.2012550184,932.6487449815977,2.290796996480467
2012-10-05,1,9,40439.53,41608.0147811165,-1168.4847811165018,2.8894618239047336
2012-10-12,1,9,37126.23,37011.00328738052,115.22671261948562,0.31036470069674627
2012-10-19,1,9,36690.81,35585.93347304086,1104.8765269591386,3.011316803742241
2012-10-26,1,9,41040.84,36524.625065201486,4516.2149347985105,11.004197123641989
2012-08-03,1,10,32794.21,33829.975683316065,-1035.7656833160654,3.158379736289014
2012-08-10,1,10,33834.22,32750.44248134856,1083.777518651441,3.203199360444665
2012-08-17,1,10,29723.55,32169.534946968775,-2445.984946968776,8.229114446184175
2012-08-24,1,10,27884.19,32322.147285156654,-4437.957285156655,15.915675819009467
2012-08-31,1,10,28490.93,31815.899474928574,-3324.9694749285736,11.670273574532574
2012-09-07,1,10,30851.75,32041.91557692429,-1190.1655769242898,3.8576922765298236
2012-09-14,1,10,31705.09,31937.881219966443,-232.79121996644244,0.7342392655767337
2012-09-21,1,10,29203.63,30406.15429867161,-1202.5242986716075,4.117722004667254
2012-09-28,1,10,27205.4,30954.051239366432,-3748.6512393664307,13.779070476326135
2012-10-05,1,10,27822.4,31253.142407179857,-3430.742407179856,12.330864365331012
2012-10-12,1,10,27803.78,30245.399343126788,-2441.6193431267893,8.781609346379483
2012-10-19,1,10,29442.38,29288.17565480472,154.20434519528135,0.5237495922384038
2012-10-26,1,10,26285.27,29200.09327948029,-2914.82327948029,11.08918903812017
2012-08-03,1,11,27759.99,33237.621623337196,-5477.6316233371945,19.732109497651816
2012-08-10,1,11,24145.93,27466.98369981021,-3321.0536998102107,13.754093132093942
2012-08-17,1,11,20281.68,24627.833465329484,-4346.153465329484,21.42896182825823
2012-08-24,1,11,20462.68,22792.493168060555,-2329.8131680605547,11.385669756163683
2012-08-31,1,11,21103.42,22696.38548616262,-1592.9654861626223,7.548375979640373
2012-09-07,1,11,23338.99,22047.754729842763,1291.2352701572381,5.532524201592434
2012-09-14,1,11,17027.47,22419.541981963277,-5392.071981963276,31.666900496452357
2012-09-21,1,11,18161.43,19071.01811701941,-909.588117019408,5.008350757728923
2012-09-28,1,11,17242.78,19300.136787692503,-2057.3567876925044,11.931700037305495
2012-10-05,1,11,22374.18,20484.895480396448,1889.2845196035523,8.444039154076496
2012-10-12,1,11,21857.09,20619.218811862946,1237.8711881370546,5.663476648250314
2012-10-19,1,11,18259.82,21369.303501211616,-3109.4835012116164,17.029102703157076
2012-10-26,1,11,22399.83,20181.184023033806,2218.645976966196,9.904744709965192
2012-08-03,1,12,11298.13,11579.689464104718,-281.55946410471915,2.492089081155193
2012-08-10,1,12,10605.66,11633.179815592588,-1027.5198155925882,9.68840992067055
2012-08-17,1,12,11447.03,11020.173893320381,426.8561066796192,3.7289681837089548
2012-08-24,1,12,10723.59,10975.650048126472,-252.06004812647188,2.350519258256534
2012-08-31,1,12,10591.46,11240.62927689887,-649.1692768988705,6.12917649595873
2012-09-07,1,12,12566.45,11135.719544605054,1430.730455394947,11.38531928583607
2012-09-14,1,12,10484.08,11652.027574334363,-1167.9475743343628,11.140200898260627
2012-09-21,1,12,9448.14,10738.42382591646,-1290.28382591646,13.656485042732857
2012-09-28,1,12,11013.77,9771.289034031732,1242.4809659682687,11.281159548168054
2012-10-05,1,12,10037.09,11173.722076383352,-1136.632076383352,11.324318865162631
2012-10-12,1,12,8983.82,10823.064958044746,-1839.2449580447465,20.472860743478236
2012-10-19,1,12,10830.48,10230.125028246388,600.3549717536116,5.5431981939268775
2012-10-26,1,12,8658.41,10579.185452114789,-1920.775452114789,22.183928135937073
2012-08-03,1,13,44708.45,42375.73567850566,2332.7143214943353,5.217613944331184
2012-08-10,1,13,42241.23,41539.320447765735,701.9095522342686,1.6616693032713976
2012-08-17,1,13,41658.4,40733.09231774475,925.3076822552539,2.221179119349888
2012-08-24,1,13,39231.62,40564.7046975194,-1333.0846975194,3.3979853432496534
2012-08-31,1,13,40940.78,42726.12426256351,-1785.3442625635143,4.3607968938635615
2012-09-07,1,13,44373.19,41347.74710098969,3025.4428990103115,6.818177595548825
2012-09-14,1,13,38759.47,41809.383998117744,-3049.913998117743,7.868822762844134
2012-09-21,1,13,39746.87,39586.09641126559,160.7735887344097,0.40449370915095884
2012-09-28,1,13,39793.41,40115.45583593882,-322.045835938814,0.8092943930636101
2012-10-05,1,13,43746.89,42316.67951871971,1430.2104812802863,3.269284928094972
2012-10-12,1,13,38015.36,40668.51997836833,-2653.159978368327,6.979178885503982
2012-10-19,1,13,38341.15,39995.603673465,-1654.4536734649955,4.315086202330904
2012-10-26,1,13,38512.48,39044.866854293614,-532.3868542936107,1.3823748932647564
2012-08-03,1,14,13423.3,14076.301915814178,-653.0019158141786,4.864689873683659
2012-08-10,1,14,12434.69,13741.37418637354,-1306.684186373539,10.508377662599862
2012-08-17,1,14,12419.06,12586.20086212841,-167.14086212840994,1.3458414898423066
2012-08-24,1,14,11041.63,13304.318929675228,-2262.688929675229,20.492345148997284
2012-08-31,1,14,12912.96,12474.026244026336,438.9337559736632,3.399172273232963
2012-09-07,1,14,13711.08,13103.948830028636,607.1311699713642,4.428033167127347
2012-09-14,1,14,11596.1,13497.176455085613,-1901.076455085613,16.394101940183447
2012-09-21,1,14,12193.8,12161.096177108917,32.70382289108238,0.2682004206324721
2012-09-28,1,14,12037.66,12920.953269101847,-883.2932691018468,7.337748940424025
2012-10-05,1,14,14381.21,12780.232441529804,1600.9775584701947,11.13242598133394
2012-10-12,1,14,11450.64,13582.467076392822,-2131.827076392823,18.617536455541554
2012-10-19,1,14,12035.51,12516.058710298466,-480.5487102984662,3.9927573513583234
2012-10-26,1,14,11150.0,12529.078805810423,-1379.0788058104226,12.368419783053119
2012-08-03,1,16,25418.49,24028.594749452448,1389.8952505475536,5.468048064804611
2012-08-10,1,16,21677.85,23109.631985878295,-1431.7819858782968,6.604815449310227
2012-08-17,1,16,20035.26,20946.399600231136,-911.1396002311376,4.547680440539018
2012-08-24,1,16,18393.12,19875.287784624248,-1482.1677846242492,8.058272792349799
2012-08-31,1,16,16797.62,20445.080267671827,-3647.4602676718278,21.714149192991794
2012-09-07,1,16,20473.94,18789.553277748666,1684.3867222513327,8.226978892442455
2012-09-14,1,16,14646.37,18871.608189704748,-4225.238189704747,28.848364405001014
2012-09-21,1,16,13415.51,15753.559965519195,-2338.0499655191943,17.42796185548812
2012-09-28,1,16,14734.64,14292.217760013791,442.4222399862083,3.0025995883591885
2012-10-05,1,16,11320.41,15598.048361912803,-4277.638361912803,37.786956143044314
2012-10-12,1,16,10525.66,12676.726805562297,-2151.0668055622973,20.436407841050322
2012-10-19,1,16,9518.43,11459.265843767349,-1940.8358437673487,20.390293817019707
2012-10-26,1,16,9934.63,9582.850293802716,351.7797061972833,3.5409442143017236
2012-08-03,1,17,7809.58,8185.279884301429,-375.69988430142894,4.810756587440412
